Name,Year,Count
Mary,1960,51479
Susan,1960,39201
Linda,1960,37315
Karen,1960,36381
Donna,1960,34133
Lisa,1960,33705
Patricia,1960,32104
Debra,1960,26737
Cynthia,1960,26725
Deborah,1960,25273
Sandra,1960,24572
Barbara,1960,24444
Brenda,1960,23956
Pamela,1960,22097
Nancy,1960,21898
Sharon,1960,20425
Cheryl,1960,19128
Elizabeth,1960,18857
Teresa,1960,18831
Lori,1960,18685
Kathy,1960,18478
Diane,1960,17898
Carol,1960,17463
Laura,1960,17063
Debbie,1960,17053
Kimberly,1960,16855
Kathleen,1960,16090
Julie,1960,16077
Denise,1960,15070
Cindy,1960,14950
Tammy,1960,14311
Janet,1960,14250
Robin,1960,13979
Kim,1960,12474
Theresa,1960,11845
Margaret,1960,11367
Laurie,1960,10144
Rebecca,1960,9970
Michelle,1960,9896
Christine,1960,9880
Janice,1960,9619
Catherine,1960,9536
Carolyn,1960,9409
Rhonda,1960,9258
Cathy,1960,9138
Tina,1960,9128
Connie,1960,8875
Judy,1960,8864
Terri,1960,8745
Angela,1960,8680
Kelly,1960,8680
Ann,1960,8677
Diana,1960,8330
Sherry,1960,8312
Paula,1960,8066
Sheila,1960,7909
Dawn,1960,7813
Joyce,1960,7750
Maria,1960,7521
Beverly,1960,7394
Jennifer,1960,7242
Annette,1960,7139
Wendy,1960,6868
Lynn,1960,6851
Valerie,1960,6717
Wanda,1960,6675
Jane,1960,6584
Betty,1960,6503
Peggy,1960,6433
Shirley,1960,6411
Bonnie,1960,6393
Beth,1960,6260
Vicki,1960,6161
Judith,1960,6150
Darlene,1960,6100
Jill,1960,6018
Amy,1960,5971
Suzanne,1960,5966
Gloria,1960,5957
Katherine,1960,5879
Joan,1960,5878
Kathryn,1960,5868
Martha,1960,5831
Tracy,1960,5771
Jacqueline,1960,5650
Jean,1960,5640
Anita,1960,5636
Anne,1960,5632
Michele,1960,5612
Gail,1960,5419
Stephanie,1960,5266
Leslie,1960,5238
Renee,1960,5205
Ellen,1960,5138
Dorothy,1960,5077
