Name,Year,Count
David,1960,85931
Michael,1960,84206
James,1960,76872
John,1960,76121
Robert,1960,72386
Mark,1960,58735
William,1960,49349
Richard,1960,43562
Thomas,1960,39299
Steven,1960,33903
Timothy,1960,30484
Joseph,1960,29757
Charles,1960,29691
Jeffrey,1960,28835
Kevin,1960,28391
Kenneth,1960,27681
Daniel,1960,25970
Paul,1960,25643
Donald,1960,22728
Brian,1960,22000
Ronald,1960,21704
Gary,1960,21687
Scott,1960,21609
Gregory,1960,20323
Anthony,1960,19511
Edward,1960,16581
Stephen,1960,16266
Larry,1960,15993
Christopher,1960,15365
Douglas,1960,15150
Dennis,1960,14317
Randy,1960,14221
George,1960,14062
Terry,1960,13912
Keith,1960,12186
Mike,1960,12047
Jerry,1960,11837
Ricky,1960,10992
Bruce,1960,10950
Frank,1960,10763
Peter,1960,10724
Craig,1960,10717
Steve,1960,10653
Eric,1960,10531
Patrick,1960,10367
Raymond,1960,9718
Roger,1960,9031
Danny,1960,8605
Jeff,1960,8507
Alan,1960,8354
Andrew,1960,8211
Tony,1960,7997
Carl,1960,7807
Dale,1960,7687
Jeffery,1960,7660
Russell,1960,7475
Joe,1960,7314
Wayne,1960,7192
Randall,1960,7164
Tim,1960,6935
Matthew,1960,6930
Gerald,1960,6560
Chris,1960,6500
Lawrence,1960,6385
Johnny,1960,6181
Phillip,1960,6040
Billy,1960,6014
Rodney,1960,5852
Jimmy,1960,5818
Walter,1960,5763
Todd,1960,5747
Barry,1960,5734
Bobby,1960,5655
Glenn,1960,5559
Jim,1960,5552
Philip,1960,5514
Martin,1960,5495
Jay,1960,5383
Curtis,1960,5366
Roy,1960,5248
Willie,1960,5238
Arthur,1960,5198
Greg,1960,5090
Henry,1960,4967
Jack,1960,4918
Tom,1960,4901
Ronnie,1960,4874
Bryan,1960,4778
Ralph,1960,4777
Bradley,1960,4744
Samuel,1960,4707
Harold,1960,4678
Albert,1960,4598
Dean,1960,4520
Bill,1960,4502
Darryl,1960,4436
Jon,1960,4404
Vincent,1960,4378
Allen,1960,4375
Rick,1960,4220
Stanley,1960,4216
Eddie,1960,4198
Victor,1960,4193
Darrell,1960,4149
Louis,1960,4131
Micheal,1960,4128
Jose,1960,3908
Howard,1960,3821
Eugene,1960,3755
Joel,1960,3711
Dan,1960,3698
Tommy,1960,3687
Leonard,1960,3635
Frederick,1960,3481
Don,1960,3452
Lee,1960,3441
Fred,1960,3395
Jonathan,1960,3351
Marvin,1960,3275
Ernest,1960,3189
Ray,1960,3079
Dave,1960,3046
Dwayne,1960,3043
Harry,1960,3016
Melvin,1960,3010
Mitchell,1960,2970
Duane,1960,2951
Kelly,1960,2939
Calvin,1960,2911
Kurt,1960,2883
Bob,1960,2720
Norman,1960,2696
Jerome,1960,2677
Brad,1960,2653
Karl,1960,2596
Marc,1960,2591
Tracy,1960,2586
Rickey,1960,2575
Earl,1960,2564
Edwin,1960,2475
Clifford,1960,2469
Kirk,1960,2450
Reginald,1960,2442
Glen,1960,2440
Francis,1960,2422
Perry,1960,2416
Alfred,1960,2403
Kent,1960,2401
Theodore,1960,2390
Jesse,1960,2377
Brett,1960,2322
Bernard,1960,2304
Nicholas,1960,2304
Brent,1960,2261
Benjamin,1960,2249
Darren,1960,2209
Clarence,1960,2200
Kerry,1960,2173
Gordon,1960,2155
Juan,1960,2082
Stuart,1960,2078
Troy,1960,2062
Shawn,1960,2050
Wesley,1960,2019
Warren,1960,2013
Carlos,1960,1998
Alvin,1960,1993
Guy,1960,1947
Kenny,1960,1941
Ron,1960,1891
Lance,1960,1877
Leroy,1960,1866
Vernon,1960,1829
Gene,1960,1789
Gilbert,1960,1788
Herbert,1960,1782
Ken,1960,1777
Aaron,1960,1774
Gregg,1960,1735
Lloyd,1960,1732
Dwight,1960,1723
Doug,1960,1712
Lonnie,1960,1703
Ted,1960,1695
Leslie,1960,1676
Manuel,1960,1672
Dana,1960,1669
Daryl,1960,1651
Leon,1960,1646
Nathan,1960,1625
Tyrone,1960,1597
Donnie,1960,1572
Timmy,1960,1571
Marty,1960,1538
Franklin,1960,1536
Antonio,1960,1496
Allan,1960,1473
Floyd,1960,1466
Neil,1960,1448
Robin,1960,1435
Andy,1960,1428
Sean,1960,1422
Andre,1960,1401
Gerard,1960,1396
Lewis,1960,1394
Clyde,1960,1374
Jackie,1960,1368
Ruben,1960,1358
Luis,1960,1335
Maurice,1960,1326
Marcus,1960,1325
Mario,1960,1321
Lester,1960,1314
Ricardo,1960,1314
Rex,1960,1312
Jimmie,1960,1306
Kelvin,1960,1303
Chuck,1960,1275
Randal,1960,1271
Kyle,1960,1270
Clayton,1960,1248
Charlie,1960,1245
Bret,1960,1242
Wade,1960,1242
Garry,1960,1238
Alex,1960,1229
Freddie,1960,1216
Sam,1960,1210
Joey,1960,1205
Alexander,1960,1204
Arnold,1960,1203
Leo,1960,1202
Byron,1960,1192
Neal,1960,1191
Milton,1960,1183
Derrick,1960,1179
Kim,1960,1158
Nathaniel,1960,1146
Wendell,1960,1145
Roland,1960,1141
Johnnie,1960,1132
Nick,1960,1099
Clinton,1960,1095
Randolph,1960,1077
Oscar,1960,1066
Herman,1960,1049
Derek,1960,1047
Ross,1960,1044
Adam,1960,1019
Terrence,1960,1017
Nelson,1960,1015
Pat,1960,1000
Harvey,1960,998
Jody,1960,995
Lynn,1960,960
Cecil,1960,959
Ben,1960,955
Roberto,1960,954
Jason,1960,938
Chester,1960,935
Jessie,1960,935
Jesus,1960,914
Clay,1960,905
Fredrick,1960,904
Hugh,1960,903
Raul,1960,902
Bart,1960,893
Marshall,1960,892
Matt,1960,878
Hector,1960,877
Clifton,1960,871
Sammy,1960,866
Rocky,1960,860
Sidney,1960,851
Carlton,1960,849
Roderick,1960,842
Claude,1960,838
Rudy,1960,829
Miguel,1960,821
Frankie,1960,815
Geoffrey,1960,801
Benny,1960,787
Wallace,1960,782
Francisco,1960,780
Ramon,1960,771
Cary,1960,759
Pete,1960,756
Terence,1960,756
Jamie,1960,735
