word,count
hearings,6342388
investment,68891129
cheap,97049762
originally,29016923
learned,23121323
duke,12250071
benz,7094855
heaven,19969634
arizona,39283012
evil,25704669
surprising,5510793
amp,13421855
debate,23211499
idle,5921579
ranges,9432991
fiscal,23506040
farms,9908537
restaurant,48255033
mega,9345031
dawn,12219521
valves,5609119
facilitate,11330977
xanax,9510471
ordered,20046781
flash,68391647
especially,59336380
treo,7353633
filme,5943984
orbit,5389062
chick,7771502
relevance,8143379
missouri,30419845
mazda,7509120
oh,81258789
relates,6023862
decor,12098868
roman,17431193
necessary,72604405
operation,58855769
establish,24965292
goes,47278206
idea,65459222
comment,148628729
feeds,31593736
sciences,42871860
roses,13584758
fifth,16255266
bathrooms,7584755
obtained,33486258
alice,11994061
collaboration,17567373
coral,8818272
counseling,14592664
calibration,6336910
bufing,5595758
lifetime,14229499
enjoyed,12819458
tommy,9327874
trials,15454182
usr,73064522
pope,8560878
secure,62287766
technique,18830686
taiwan,21364111
changelog,5472164
depression,15527836
chassis,5955012
plate,24275560
brad,10595050
div,8200687
southeast,12520872
village,42335952
when,650621178
shame,6785296
regression,6314300
bookings,7160959
vision,43425570
premises,9787665
np,8922179
ah,13406814
priced,15326748
align,5478643
driven,17723706
greene,5275449
because,271323986
retired,10914144
sure,110528740
powder,12627415
coordination,10601328
mw,7651741
winner,21794180
intro,11938092
enclosure,5309730
projection,10975182
awarded,15460775
sentences,5723424
graphs,6660200
morrison,5118866
unusual,12459909
different,179794224
abs,7925063
rx,8486361
swingers,8133475
alternate,12846709
ceo,14610097
kirk,5164081
branch,36712083
prostores,8159596
behind,53824933
backing,5397022
burton,7849087
bug,39672754
erik,5319084
wonderful,28796607
vista,13991160
lisa,15203868
transit,25331545
grown,13931521
pete,9671293
sorted,38002278
solve,13452150
soon,77038135
attempted,7412242
yr,12176279
future,121844371
cite,7045823
canada,177153952
wedding,60758332
complicated,8423441
grants,23947774
ne,32142023
kilometers,6677539
deborah,5332019
partnerships,12453817
vocabulary,6500785
unauthorized,5918928
strongly,16433047
uk,232749142
racial,7549723
soldiers,16175690
dns,9064219
sunset,11802197
apparent,9650402
rabbit,9208689
struggle,10637472
salem,9735569
meditation,6729371
tries,8236889
pressed,5362732
stays,5547528
gained,9124289
stomach,7234044
repairs,10209005
surname,6464687
cambodia,8694511
portal,30171660
thick,14030556
usps,5355003
cheese,16704436
palestinian,10409985
indeed,26943016
enable,39733007
perform,30378944
wake,14120141
mozambique,7096287
canvas,10820175
operator,25471127
came,73286694
declined,5758614
magnet,6694571
create,137071122
without,219190105
quantity,38123233
least,111229798
islands,71269325
stamps,17036451
edmonton,6446043
robots,5274525
ware,5292386
filled,23448324
declared,11707935
cyber,9289150
computing,36381081
specified,48284665
slovakia,7924180
respective,46528775
bahrain,6863973
yeast,6083904
rescue,14978200
dpi,7260183
exclusion,5721930
true,96269550
berry,7551906
mentor,5537836
nasty,7434847
institutional,14424194
newcastle,9284584
utilization,6337608
hook,11359349
delicious,7521332
steering,10826821
folders,8612253
lesbians,24903277
lookup,12096074
remains,25560925
school,343057316
yen,5792863
leader,39591949
navy,22018379
neck,17354931
victory,16328207
color,112965658
monroe,8922026
modelling,6535752
slots,12452126
earnings,19286666
submission,22066279
text,208780080
simulation,16164825
suburban,5637047
simply,62012991
imposed,9098534
aspects,28377709
harper,6843424
connection,61302455
already,108324565
nested,5265588
worry,13243591
talked,9582713
hide,27157035
oxford,21694927
bringing,15970507
fed,12005354
recommended,52496488
train,31816971
thereby,8333948
offset,12689932
assessment,59513100
avon,6237273
theorem,8569908
az,48985772
compiled,13067154
flavor,6222543
australian,45733685
acids,8793940
fy,11203603
individually,7129413
packet,15160863
considers,6583467
jersey,48658750
sims,7766711
covering,15524533
drama,20939845
multiple,66171358
patients,58656286
lottery,11776450
surplus,7299526
casual,13932521
biodiversity,5265501
scsi,9096109
friends,110732827
sexually,5310148
attacked,5106909
downloadable,9100404
reform,22751438
schedules,12917359
waiver,5625238
graphics,54781266
gauge,9952466
bestsellers,12121686
sigma,11864409
clients,43278784
conferencing,7008203
expo,7246083
snake,7606395
specialized,10955946
treating,6876896
incentive,8142630
tuesday,69843013
thesaurus,7130215
france,102698139
seafood,7525177
content,188880495
dp,7627436
direction,33868571
beverage,8375242
rv,12295996
born,52452012
casting,8071983
cooked,5367778
residents,29765553
raid,8207357
arkansas,23135882
id,119974321
co,114452742
respond,23761645
humidity,8321426
obligation,14122636
workforce,11215929
mph,15975134
less,145430147
knitting,5107350
defensive,5430651
beat,27616668
diary,14922472
tf,5423440
directory,212478717
interaction,19515376
economy,46236766
unless,52436419
merchandise,20241873
jury,10566974
manufacture,9020752
newspapers,18120268
bills,18248816
entities,11373336
sox,9046134
donation,11245208
vector,15924418
councils,5981809
syntax,15843797
segments,7249885
alive,16064787
resulting,21843487
hearts,13262019
travesti,8929924
qualifying,5958210
newport,9381857
shoes,80755612
andale,7136201
styles,23491617
satellite,42379243
cotton,23279423
deputy,13747486
to,12136980858
hyundai,6025312
courtesy,10945291
minutes,96242209
hence,14992334
dollars,40136550
statute,9035618
applicant,19198316
genres,8694858
watch,92006970
thanks,91398411
rest,53312008
upgrades,9728964
karl,7553289
preliminary,13106833
je,9494130
classified,22697689
poverty,19430836
till,16376756
forms,63561604
spank,5416004
designation,6156865
asin,10031107
clause,13906621
systematic,6527542
nickel,6105089
jackets,9619919
firefox,15205457
llc,41281263
obvious,15533662
medicare,11339790
finances,6647959
discuss,43208309
running,72879426
modem,15984492
carnival,6633835
adults,32847475
proposal,30189304
whilst,9537785
resources,217268632
hospitals,18114421
antiques,18348484
scale,46307526
lodging,14995901
operators,18330183
projects,92603476
consumer,67665809
lonely,7567701
argument,38902162
foundation,64753514
cowboy,6868615
berlin,17932276
taylor,26736684
counter,35345740
warehouse,14530204
ui,6506925
tired,11158233
quick,85584600
fatal,6779744
configure,14461355
vp,7249918
vinyl,17009819
laboratories,9087221
cookies,17553631
cb,10376380
url,100907064
phys,9433060
several,107589584
buy,410780176
mint,12694588
nights,21258662
kiss,14790481
unknown,48325930
show,247541986
categories,173839008
crucial,9880976
lender,6998474
buying,53534781
chi,10981165
kitty,6414935
briefing,6737775
battery,51449559
carol,11109404
run,117213565
techrepublic,5944800
sexuality,5775359
uncertainty,7193641
companion,8745556
consultant,18517590
equipment,144298238
split,19998411
charlotte,20061169
formatting,6833739
elder,7299470
near,81652767
motivated,5411329
ukraine,14682465
either,99143011
module,44127294
jerry,13908229
divine,9413498
nan,30739157
rank,36408196
const,20236664
