age,gender,occupation,shop_1,shop_2
35-50,M,Whaleway engineer,Algi,Clamazon
35-50,N,Brine surgeon,Squidl,Algi
35-50,F,Brine surgeon,Clamazon,sEabay
65+,F,Housekelper,sEabay,Algi
20-35,M,Brine surgeon,Clamazon,sEabay
20-35,M,Fintech investor,Squidl,Algi
20-35,M,Brine surgeon,Squidl,Algi
35-50,N,Fintech investor,Squidl,Clamazon
65+,F,Brine surgeon,Clamazon,Algi
35-50,F,Whaleway engineer,Clamazon,Squidl
65+,F,Housekelper,Clamazon,Algi
20-35,M,Brine surgeon,Squidl,Algi
<20,F,Fintech investor,Clamazon,sEabay
<20,M,Fintech investor,Algi,Clamazon
50-65,N,Housekelper,Clamazon,Squidl
50-65,M,Nurse shark,Squidl,Surfways
65+,N,Whaleway engineer,Clamazon,sEabay
65+,F,Fintech investor,Algi,Clamazon
35-50,M,Nurse shark,sEabay,Algi
35-50,F,Housekelper,Clamazon,Squidl
20-35,F,Fintech investor,Squidl,Clamazon
35-50,F,Brine surgeon,Algi,Clamazon
35-50,F,Fintech investor,Algi,Squidl
65+,F,Brine surgeon,sEabay,Algi
35-50,F,Housekelper,sEabay,Clamazon
50-65,M,Brine surgeon,Clamazon,Algi
50-65,F,Clameraman,sEabay,Algi
50-65,F,Clameraman,sEabay,Algi
35-50,M,Brine surgeon,Squidl,Clamazon
20-35,M,Nurse shark,Algi,Surfways
20-35,F,Brine surgeon,sEabay,Algi
35-50,F,Whaleway engineer,Algi,Surfways
<20,M,Brine surgeon,Algi,sEabay
65+,F,Fintech investor,Clamazon,Surfways
65+,F,Whaleway engineer,Clamazon,Algi
20-35,M,Fintech investor,Algi,Clamazon
20-35,F,Fintech investor,Clamazon,Algi
35-50,F,Whaleway engineer,sEabay,Algi
35-50,F,Brine surgeon,Squidl,sEabay
20-35,F,Housekelper,Clamazon,Squidl
35-50,M,Fintech investor,Surfways,Clamazon
50-65,F,Whaleway engineer,sEabay,Algi
<20,M,Brine surgeon,sEabay,Clamazon
50-65,M,Housekelper,Algi,Squidl
65+,F,Whaleway engineer,Surfways,sEabay
20-35,N,Nurse shark,Clamazon,sEabay
65+,M,Brine surgeon,Clamazon,Algi
35-50,F,Housekelper,Algi,Clamazon
50-65,M,Brine surgeon,Clamazon,Squidl
50-65,F,Whaleway engineer,sEabay,Clamazon
20-35,F,Housekelper,Clamazon,Squidl
50-65,F,Clameraman,Algi,Clamazon
<20,F,Brine surgeon,Clamazon,Squidl
<20,F,Clameraman,Clamazon,Algi
65+,F,Housekelper,Clamazon,Squidl
<20,M,Brine surgeon,Algi,sEabay
50-65,F,Brine surgeon,Algi,Clamazon
50-65,M,Housekelper,Algi,sEabay
50-65,F,Housekelper,Squidl,sEabay
35-50,N,Brine surgeon,Clamazon,sEabay
35-50,F,Fintech investor,Algi,Clamazon
35-50,F,Fintech investor,Surfways,Squidl
